"id","name","h1_title","description","meta_title","meta_description","meta_keywords","og_title","og_description","intro_text","intro_position","cover","icon","urlhash","parent_id","sort_id","created_at","updated_at","super_id","status","noindex"
"17","Računari","Računari – Desktop, Laptop i All-in-One","<p>...</p>
","Računari | Desktop, Laptop, All-in-One – BitLab","Kupite računare po povoljnim cijenama. Desktop, laptop i All-in-One računari vodećih brendova. Brza isporuka po BiH i regionu.","računari, desktop računari, laptop, all-in-one, kupiti računar online, povoljni računari BiH","Računari – Desktop, Laptop i All-in-One | BitLab","Pronađite idealan računar za posao ili dom. Brza isporuka, garancija, povoljne cijene.","Pronađite računar koji odgovara vašim potrebama – od kućne upotrebe do zahtjevnih poslovnih rješenja. U ponudi su desktop računari, laptopi i All-in-One uređaji vodećih brendova s garancijom i brzom isporukom.","1","122_racunari.jpg",NULL,"racunari","0","0","2016-11-19 20:46:28","2021-06-05 10:06:28","3","1","0"
"93","Desktop Brand Name","Desktop Brand Name računari","<p>....</p>
","Desktop Brand Name računari | HP, Dell, Lenovo – BitLab","Branded desktop računari poznatih proizvođača – HP, Dell, Lenovo i drugi. Provjerena kvaliteta, garancija, brza isporuka.","brand name desktop, HP desktop, Dell desktop, Lenovo desktop, branded računari BiH","Desktop Brand Name računari | BitLab","Branded desktop računari poznatih proizvođača s garancijom i brzom isporukom.","Branded desktop računari od renomiranih proizvođača poput HP-a, Della i Lenova. Idealni za poslovnu i kućnu upotrebu uz punu garanciju.","1","43_desktopBrandCat.png",NULL,"desktop-brand","17","1","2017-06-07 08:12:13","2017-10-10 13:40:42","3","1","0"
"94","UPS, stabilizatori, ...","UPS, Stabilizatori i Zaštita napajanja","<p>...</p>
","UPS i Stabilizatori napajanja – BitLab","UPS uređaji, stabilizatori i zaštita napajanja za računare i opremu. APC, Ever, Eaton i drugi. Povoljne cijene, brza isporuka.","UPS, stabilizator napajanja, zaštita napajanja, APC UPS, Ever UPS, besprekidno napajanje BiH","UPS i Stabilizatori napajanja | BitLab","UPS uređaji i stabilizatori za zaštitu opreme od nestanka struje i prenapona.","Zaštitite opremu od nestanka struje, prenapona i oscilacija. UPS uređaji, stabilizatori i sigurnosne utičnice brendova APC, Ever i Eaton.","1","905_ups.jpg",NULL,"ups-stabilizatori","0","40","2017-06-07 17:59:19","2021-06-05 10:33:08","3","1","0"
"97","Printeri i skeneri","Printeri i skeneri – Laserski, Inkjet, Multifunkcijski","<p>......</p>
","Printeri i Skeneri | Laserski, Inkjet – BitLab","Printeri i skeneri za kućnu i poslovnu upotrebu. Laserski, inkjet i multifunkcijski modeli HP, Canon, Epson i Brother. Brza isporuka.","printeri, skeneri, laserski printer, inkjet printer, multifunkcijski printer, HP printer, Canon printer BiH","Printeri i Skeneri | BitLab","Laserski, inkjet i multifunkcijski printeri vodećih brendova. Brza isporuka po BiH.","Printeri i skeneri za svaku namjenu – od kućne upotrebe do zahtjevnih poslovnih okruženja. Laserski, inkjet, multifunkcijski i foto printeri brendova HP, Canon, Epson i Brother.","1","270_stampaci.jpg",NULL,"printeri","0","12","2017-06-07 18:23:38","2021-06-05 10:43:48","3","1","0"
"98","Notebook","Notebook – Laptopi i prijenosni računari","<p>....</p>
","Notebook i Laptopi | Povoljne cijene – BitLab","Kupite notebook i laptop računare po povoljnim cijenama. HP, Lenovo, Asus, Acer i drugi brendovi. Brza isporuka po BiH.","notebook, laptop, prijenosni računar, kupiti laptop online, HP laptop, Lenovo laptop, Asus laptop BiH","Notebook i Laptopi | BitLab","Širok izbor laptopa i notebook računara vodećih brendova po povoljnim cijenama.","Pronađite savršen laptop za posao, školu ili zabavu. Nudimo širok izbor notebook računara vodećih brendova – HP, Lenovo, Asus, Acer – s garancijom i brzom isporukom po cijeloj BiH.","1","525_laptop.jpg",NULL,"notebook","0","8","2017-06-07 20:46:36","2021-06-05 10:09:16","3","1","0"
"99","Tablet","Tableti – Android, iPad i Windows tableti","<p>...</p>
","Tableti | Android, iPad, Windows – BitLab","Kupite tablet po povoljnoj cijeni. Android, Apple iPad i Windows tableti. Brza isporuka, garancija, povoljne cijene.","tableti, android tablet, iPad, Windows tablet, kupiti tablet online BiH","Tableti – Android, iPad i Windows | BitLab","Širok izbor tableta vodećih brendova po povoljnim cijenama s brzom isporukom.","Tableti za svaku namjenu – od edukacije i zabave do poslovne produktivnosti. U ponudi su Android, Apple iPad i Windows tableti s garancijom.","1","628_tabletCat.jpg",NULL,"tableti","17","11","2017-06-07 20:49:30","2017-10-10 13:44:20","3","1","0"
"101","Produženje garancije",NULL,"<p>...</p>
",NULL,NULL,NULL,NULL,NULL,NULL,"0","959_warrantyCat.jpg",NULL,"produzenje-garancije","17","39","2017-06-07 20:53:22","2017-10-10 13:50:20","3","1","0"
"104","Poslovne torbe / rančevi","Poslovne torbe i rančevi za laptop","<p>...</p>
","Torbe i Rančevi za laptop | Targus, Case Logic – BitLab","Torbe i rančevi za laptop 13"", 15.6"" i 17.3"". Targus, Case Logic, Samsonite i drugi. Zaštita, stil i funkcionalnost. Brza isporuka.","torba za laptop, ranac za laptop, laptop bag, Targus torba, Case Logic ranac, 15.6 torba BiH","Poslovne torbe i rančevi za laptop | BitLab","Torbe i rančevi za laptop 13"" do 17.3"" – Targus, Case Logic, Samsonite i drugi.","Zaštitite i nosite laptop u stilu uz poslovne torbe i rančeve. Targus, Case Logic i Samsonite modeli za laptop 13"", 15.6"" i 17.3"" s ergonomskim dizajnom.","1","903_torbaCat.png",NULL,"torbe-notebook","0","25","2017-06-07 20:56:42","2022-08-11 12:04:43","8","1","0"
"107","PC komponente","PC Komponente – Procesori, RAM, grafičke i više","<p>...</p>
","PC Komponente | Procesori, RAM, Grafičke – BitLab","PC komponente za izgradnju i nadogradnju računara. Procesori, RAM, grafičke kartice, matične ploče, SSD, HDD i još mnogo više.","PC komponente, procesor, RAM memorija, grafička kartica, matična ploča, SSD, HDD, komponente za računar BiH","PC Komponente | BitLab","Sve PC komponente na jednom mjestu. Izgradite ili nadogradite računar uz povoljne cijene i brzu isporuku.","Sve što vam treba za izgradnju ili nadogradnju računara – procesori, matične ploče, RAM memorija, grafičke kartice, SSD i HDD diskovi, kućišta i napajanja. Povoljne cijene i stručni savjet.","1","936_komponente.jpg",NULL,"pc-komponente","0","14","2017-06-07 21:12:34","2021-06-05 10:44:45","3","1","0"
"108","Matične ploče","Matične ploče – Intel i AMD platforme","<p>...</p>
","Matične ploče | Intel, AMD – BitLab","Matične ploče za Intel i AMD procesore. ASUS, MSI, Gigabyte, ASRock i drugi. Povoljne cijene, brza isporuka po BiH.","matične ploče, motherboard, Intel matična ploča, AMD matična ploča, ASUS, MSI, Gigabyte BiH","Matične ploče | BitLab","Matične ploče za Intel i AMD procesore vodećih brendova po povoljnim cijenama.","Matične ploče za Intel i AMD platforme – od entry-level do high-end konfiguracija. ASUS, MSI, Gigabyte, ASRock i drugi brendovi.","1","130_maticneCat.jpg",NULL,"maticne-ploce","107","42","2017-06-07 21:14:06","2017-10-12 10:13:39","3","1","0"
